sent,original_cont_label,original_det_label,annotated_cont_labels,annotated_det_labels,CLOB,COLOR,FADE,FORM,K,KAN,KOB,KP,(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,BOT,ELEM,FRAG,GÉO,H,HD,MQ,OBJ,PAYS,RADIO,SEX,SG,SYMB,animal_macro,human_macro,abs_macro,food_macro,art_arch_macro,nature_macro,fragment_macro,geo_macro,object_macro,science_macro,graphic_macro
"The old, worn photograph showed a faded image of a woman's face, her skin etched with fine lines and wrinkles like the rough texture of an aged piece of leather.",['SEX'],['FORM'],"The two categories that fit the sentence most are:

(HD):a part of a human body
(SG):references to blood","Based on the given text, I would categorize it as follows:

K: The human/s move (the woman's face is shown)
CLOB: the object of the sentence is a feeling of threat, anxiety (gloom)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"The old, worn-out book cover had faded red spots on its leather binding, giving it a tattered appearance like a worn-out red umbrella in a stormy sky.",['ANAT'],"['COLOR', 'FORM']",I would categorize the sentence as (A):a fictional object.,"Based on the sentence, I would categorize it as:

K: The human/s move (the book cover is old and worn out)
CLOB: the object of the sentence is the feeling of threat, axiety (giving it a tattered appearance like a worn-out red umbrella in a stormy sky)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"The creature's scales glistened like polished obsidian, its edges worn smooth by countless hours of walking on dry riverbeds, leaving behind a subtle haze that seemed to cling to its every feature.",['(A)'],['FORM'],"Based on the given sentence, I would categorize it as:

(HD):the creature's scales
(AD):its edges","Based on the sentence, I would categorize it as:

K: The human/s move (the creature's scales and edges are moving)
CLOB: The object of the sentence is the feeling of threat, axiety (the subtle haze that seems to cling to its every feature suggests a sense of unease or tension)",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old, abandoned mine was shrouded in a thick, crimson haze, as if the very earth itself had been dyed red by the countless hours of toil and blood that had seeped into its veins like a dark, viscous liquid.",['SG'],['COLOR'],"Based on the given sentence, I would categorize it as:

(HD):the earth
(ABS):blood","Based on the sentence, I would categorize it as:

K: The old, abandoned mine
CLOB: the feeling of threat, anxiety (implied by ""toil and blood"" and ""seeped into its veins"")",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"The old, worn leather saddle had faded to a soft brown from years of use and exposure to the elements, its once-tight stitching now loose and frayed like a pair of well-worn jeans.",['OBJ'],"['FORM', 'COLOR']","Based on the given text, I would categorize it as:

(HD):the saddle's parts (leather, stitching)","Based on the sentence, I would categorize it as:

K: The human/s move (the saddle had faded to a soft brown)
CLOB: The object of the sentence is the feeling of threat, axiety (death, aging, gloom)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The old wooden table had been painted a faded yellow and was now covered in a thick layer of dust, its surface etched with a subtle texture that resembled the rough skin of a tiger's spot.",['ALIM'],"['COLOR', 'FORM']","Based on the sentence, I would categorize it as:

(HD):a part of an animal (specifically, the surface etched with a subtle texture that resembles the rough skin of a tiger's spot)","Based on the sentence, I would categorize it as:

K: The human/s move (the table is being covered in dust)
CLOB: the object of the sentence is the feeling of threat, axiety (death and aging are mentioned)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"The primary element one of which stands out in vivid colors is fire, its intense flames casting a warm orange glow on the surrounding earth, while water's calm surface reflects the vibrant blue sky above, amidst the fiery landscape.",['ELEM'],['COLOR'],"Based on the given text, I would categorize it as follows:

H (Human): The primary element one of which stands out in vivid colors is fire.

ELEM (Element): water and earth.","Based on the sentence, I would categorize it as:

K: The human/s move (e.g., flames casting a warm orange glow)
CLOB: The object of the sentence is the feeling of threat, axiety (e.g., ""the vibrant blue sky above"")

These two categories fit the sentence more accurately.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The vibrant green foliage of the orchid stood out against the dark, rich soil, its delicate white petals glowing like a beacon in the warm sunlight filtering through the dense canopy above.",['BOT'],['COLOR'],"Based on the given text, I would categorize it as:

(HD):a part of an orchid (specifically its petals)","Based on the sentence, I would categorize it as:

K: The human/s move (the orchid's foliage and petals)
CLOB: the object of the sentence is the feeling of threat, axiety (vibrant green foliage evokes a sense of health and vitality, while dark soil might suggest decay or danger)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The old, worn leather saddle had faded to a deep, rich brown, like the patina on a well-used saddle, and its once-vibrant stitching was now a dull, mottled grey, as if it had been stained by years of smoke.",['AD'],"['FORM', 'COLOR']",I would categorize the sentence as: H/A (a human with animal parts),"Based on the sentence, I would categorize it as:

K: The old, worn leather saddle
CLOB: The feeling of threat or anxiety (gloom) associated with the image of an old, worn leather saddle.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old, worn stone of the ancient temple faded to a soft, mossy green, its intricate carvings now barely visible beneath a thick layer of dust and vines that clung to its weathered facade like a damp, grey mist.",['ARCH'],['FORM'],"Based on the sentence, I would categorize it as:

(HD):the temple's carvings
(ELEM):stones","Based on the sentence, I would categorize it as:

K: The human/s move (the stone of the temple is being worn and faded)
CLOB: the object of the sentence is the feeling of threat, axiety (the old, worn stone evokes a sense of age and decay)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The old, worn photograph showed a faded image of a woman standing in front of a misty mountain range, her hair blown back by an unseen wind, and her clothes wrinkled and creased as if she had just stepped out of a fire.",['H'],['FORM'],I would categorize the sentence as: H/A (a human with animal parts).,"Based on the given text, I would categorize it as:

K: The human/s move (the woman is standing)
CLOB: The object of the sentence is the feeling of threat, axiety (the misty mountain range and the unseen wind create a sense of foreboding)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The human couple stood frozen in front of a vast, fiery sunset, their arms wrapped tightly around each other as they gazed out at the horizon, the sky ablaze with oranges and reds.",['ABS'],"['K', 'COLOR']","Based on the sentence, I would categorize it as:

(HD):a part of a human body.

This is because the sentence describes a couple standing in front of a sunset, which implies that they are holding hands or wrapped around each other, indicating a physical connection between their arms.","Based on the given text, I would categorize it as follows:

K: The human/s move (the couple standing frozen)
CLOB: The object of the sentence is the feeling of threat, anxiety (gazing out at the horizon)",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The doctor examined the patient's leg carefully as she asked if it was painful. The nurse gently touched her arm to check for any injuries before moving on to examine the hand of a young boy who had fallen and skinned his finger.,['HD'],['K'],"Based on the given text, I would categorize the sentence as follows:

(HD):a part of a human body.

This is because ""the hand"" is a part of the human body mentioned in the sentence.","Based on the sentence, I would categorize it as:

K: The human/s move (the doctor examining the patient's leg)
CLOB: The object of the sentence is the feeling of threat, anxiety (the nurse checking for injuries to gauge the patient's pain)

Note that the sentence also mentions a young boy, which could be considered an animal (KAN) in this context. However, since it's not explicitly stated that the boy is moving or being moved, I didn't assign KAN as the primary category.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The abstract concept of death was strongly associated with a black puddle of mud that had begun to fade into a soft, smoky grey, like the dying embers of a fire that had long since burned out.",['ABS'],"['COLOR', 'FORM']","Based on the given text, I would categorize it as:

H (human)
ABS (abstract concept)","Based on the sentence, I would categorize it as:

K: The human/s move (the puddle of mud is moving)
CLOB: the object of the sentence is the feeling of threat, axiety (death is a strong emotional concept associated with the scene)",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"The cat's eyes gleamed like emeralds in the dim light as it stalked its prey, a small mouse scurrying across the floor, its tiny heart beating rapidly due to fear of being caught and then splattered on the wall with a crimson stain.","['A', 'SG']","['KAN', 'COLOR']",I would categorize the sentence as: H/A (a human with animal parts).,"Based on the sentence, I would categorize it as:

K: The human/s move (cat stalking its prey)
CLOB: The object of the sentence is the feeling of threat, axiety (fear of being caught and then splattered on the wall)",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"The laptop's screen flickered as it hovered in mid-air, its keyboard and touchpad moving rapidly as if trying to grasp for control.",['OBJ'],['KOB'],"I would categorize the sentence as:

(HD):a part of a human body.","Based on the given text, I would categorize the sentence as:

K: The human/s move (laptop's screen flickering)
CLOB: The object of the sentence is the feeling of threat, axiety (gloom)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The woman walked quickly down the street, her eyes fixed on a laptop in someone's hand as she hurried past, while two children played tag behind her.","['H', 'OBJ']",['K'],"Based on the given sentence, I would categorize it as follows:

(HD):woman
(HA):laptop","Based on the given text, I would categorize it as:

1. KP: small human movement (woman walking quickly)
2. CLOB: feeling of threat (gloom)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"The cat's slow movements were accompanied by a faint rustling sound, and as it turned to face its owner, a crimson stain appeared on its white shirt.",['A'],"['KAN', 'COLOR']","I would categorize the sentence as:

(HD):a part of a fictional person (the cat).","Based on the sentence, I would categorize it as:

K: The human/s move (the cat's movements)
CLOB: The object of the sentence is a feeling of threat, axiety (the feeling of being threatened or anxious)",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The man walked towards her, his footsteps echoing in the dimly lit room as he reached out to gently brush away a smudge of red paint from her cheek, his eyes locking onto hers with a deep sense of calm and serenity amidst the chaos surrounding them.","['ABS', 'H']","['K', 'COLOR']","Based on the sentence, I would categorize it as:

(HD):a human (man) with animal parts (his footsteps echoing in the room, his eyes locking onto hers)

This is because the man has a physical body and is interacting with the environment in a way that involves his feet and eyes.","Based on the sentence, I would categorize it as:

K: The human/s move (man walking towards her)
CLOB: The object of the sentence is the feeling of threat, axiety (calm and serenity amidst chaos)",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"The personification of anxiety crept up her leg as she stood alone in the dark alley, her heart racing like a predator stalking its prey. Her eyes darted nervously around the deserted street, searching for any sign of danger lurking just out of sight.",['HD'],"['K', 'CLOB']","Based on the sentence, I would categorize it as:

(HD):a part of a human body (her leg)","Based on the sentence, I would categorize it as:

KAN: an animal is moving (a predator stalking its prey)
CLOB: a feeling of anxiety",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The tiger's spots faded to a smudge on the forest floor, blending with the murky water that had seeped into the dry earth. The sheep's fur was matted and gray, like the stone walls of an abandoned mine shaft. A coal-black puddle reflected the fading light of the setting sun, casting long shadows across the dusty terrain.",['ANAT'],"['FORM', 'COLOR']","Based on the sentence, I would categorize it as follows:

(HD):the tiger's spots
(AD):the forest floor
(SG):the muddy puddle","Based on the sentence, I would categorize it as:

K: The tiger's spots faded
CLOB: The forest floor and water
COLOR: The fading light of the setting sun",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"The subject I am describing is a hand. As I move my hand in a gentle flexion motion, it curls around an imaginary object, fingers wrapped tightly around it, while thumb and index finger grasp it firmly.",['HD'],['KP'],"Based on the sentence, I would categorize it as:

(HD):a hand
(AD):an imaginary object","Based on the sentence, I would categorize it as:

K: The human/s move (the subject ""I"" is describing a movement)
CLOB: the object of the sentence is the feeling of threat, axiety (the imaginary object being curled around is associated with fear or anxiety)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The old, worn leather saddle had faded to a soft, mossy green on its wooden frame, where once it had been polished by countless riders, and now its surface was etched with subtle, mottled patterns like a cat's fur in the sun.","['AD', 'HD', 'A']",['FORM'],"Based on the given text, I would categorize it as:

(HD):a part of an animal (specifically, a saddle)

This is because the sentence describes a specific part of an animal (the leather saddle) and its physical characteristics (faded color, patterns, wooden frame).","Based on the sentence, I would categorize it as:

K: The old, worn leather saddle had faded to a soft, mossy green on its wooden frame, where once it had been polished by countless riders, and now its surface was etched with subtle, mottled patterns like a cat's fur in the sun.

CLOB: The feeling of threat or anxiety is associated with the old, worn leather saddle.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"The old wooden door had faded paint and a worn leather handle, its rough texture blending into the surrounding stone as it stood quietly in the corner, a relic from a bygone era.",['OBJ'],"['FORM', 'FADE']",I would categorize the sentence as: H/A (a human and an animal),"Based on the given text, I would categorize it as:

K: The human/s move (the door moving into the stone)
CLOB: the object of the sentence is the feeling of threat, axiety (the old wooden door and its surroundings evoking a sense of age and decay)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The fragmented shape of the old clock's face was covered in a thick layer of dust, its intricate engravings worn smooth by years of fading sunlight, like the soft, velvety texture of an aged sheep's woolen fleece.",['FRAG'],"['FORM', 'FADE']","The following two categories fit the sentence more: 

(HD):the clock's face
(SG):the dust","Based on the sentence, I would categorize it as:

K: The human/s move (the clock's face is fragmented)
CLOB: the object of the sentence is the feeling of threat, axiety (the text describes a sense of decay and aging)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"The old watch had faded leather straps and cracked glass, its once-polished surface now dull and tarnished like rust on a rusty gate.",['HD'],"['FORM', 'COLOR']","Based on the given definitions, I would categorize the sentence as follows:

(HD):a part of an object (the watch)
(ABS):an abstract concept (rust)","Based on the given text, I would categorize it as follows:

K: The human/s move (the watch is described in terms of its movement and changes)
CLOB: the object of the sentence is the feeling of threat, axiety (the old watch is associated with a sense of age and decline)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The old, worn wooden rocking chair had faded paint and a soft, plush cushion that seemed to glow in the dim light, its intricate carvings rendered in a warm, honey-colored wood that looked almost like burnt sugar.",['BOT'],"['FORM', 'COLOR']","Based on the sentence, I would categorize it as:

(HD):a part of an object (the rocking chair)","Based on the sentence, I would categorize it as:

KP: The old, worn wooden rocking chair had faded paint and a soft, plush cushion.

CLOB: The dim light.

FORM: The intricate carvings.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The fragmented element was a crimson stain on the black man's shirt, partially obscured by a coal-black hat and standing in front of a murky puddle of red mud that reflected the faint glow of a flickering lantern.","['FRAG', 'SG']","['K', 'COLOR']","Based on the given sentence, I would categorize it as:

H (human)","Based on the sentence, I would categorize it as:

K: The human/s move (the man is standing)
CLOB: The object of the sentence is the feeling of threat, axiety (death, aging, gloom)",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"The old man's eyes narrowed as he gazed out at the darkening landscape, his mind racing with the thought of an impending storm that would bring torrential rains and flooding, a feeling of anxiety that had been building for weeks.",['(H)'],"['K', 'CLOB']","Based on the given sentence, I would categorize it as:

(HD):the man's eyes (a part of a human body)","Based on the sentence, I would categorize it as:

KAN: The old man's eyes narrowed as he gazed out at the darkening landscape.

This is because the action of ""narrowed"" implies movement or change in the eyes, which is a small human movement (KP).",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The old, worn leather book lay open on the dusty shelf, its cracked cover and faded title slowly revealing the yellowed pages within, as if the very fabric of the book itself was slowly unraveling like a spider's web.",['(H)'],['FORM'],I would categorize the sentence as: H (a human),"Based on the sentence, I would categorize it as:

K: The human/s move (the old person opening the book)
CLOB: the object of the sentence is the feeling of threat, axiety (the dusty shelf and cracked cover convey a sense of unease or danger)",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The old, worn leather saddle had faded to a soft, mossy green and was covered in tiny, raised patches that resembled the rough texture of tree bark, giving it a weathered, aged appearance.",['(HD)'],"['FORM', 'COLOR']","Based on the given sentence, I would categorize it as:

(HD):a part of an animal (specifically, a saddle)","Based on the sentence, I would categorize it as:

K: The human/s move (the saddle is old and worn)
CLOB: the feeling of threat, axiety (the description suggests a sense of age and weariness)",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The human walked quickly across the muddy street, splashing water from a nearby puddle onto their feet as they hurried towards the red brick building in the distance, where a black man stood outside, staring at something on the ground with a look of intense concentration.",['H'],"['K', 'COLOR']","I would categorize the sentence as:

(HD):a human (H) with animal parts (HD).","Based on the sentence, I would categorize it as:

K: The human/s move (human walking quickly across the muddy street)
CLOB: The object of the sentence is the feeling of threat, axiety (red brick building in the distance, black man standing outside)",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The tiger was running through the forest, its paws pounding the ground as it chased after its prey.",['A'],['KAN'],"Based on the given definitions and examples, I would categorize the sentence ""The tiger was running through the forest, its paws pounding the ground as it chased after its prey"" as:

(HD):a part of a fictional person (the tiger)

This is because the sentence refers to a specific body part of a fictional animal (tiger) that is being described in relation to another entity (forest and prey).","Based on the sentence, I would categorize it as:

KAN: KP:small human movement
CLOB: The feeling of threat or anxiety (gloom) is strongly associated with color (black)

The sentence describes a tiger running through the forest, which suggests small human movement (KP). Additionally, the use of words like ""pounding"" and ""chased after its prey"" implies that the tiger's actions are driven by fear or anxiety, which is closely tied to the feeling of threat or gloom.",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The fading image of a tiger's spot on a worn leather saddle seemed to blend with the smoke that curled from its rear end, casting a reddish hue across the surrounding terrain, like a bloodstain on a dark fabric.",['(A)'],"['FORM', 'COLOR']",I would categorize the sentence as: H/A (a human with animal parts).,"Based on the sentence, I would categorize it as:

K: The human/s move (the tiger's movement)
CLOB: The object of the sentence is the feeling of threat, anxiety (the image of a tiger's spot evokes fear or anxiety)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old, worn-out shoe had faded to a light brown color and its once-black leather now showed patches of gray, like the smudged surface of a puddle on a rainy day, but what caught my attention was the small, yellowish spot on the toe that seemed to glow in the dim light.",['HD'],"['COLOR', 'FORM']","Based on the sentence, I would categorize it as:

(HD):a part of a shoe (the toe)","Based on the sentence, I would categorize it as:

K: The old, worn-out shoe
CLOB: a puddle (the object of the sentence is the feeling of being wet and possibly gloomy)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The fragmented element was a faded red hat, its once-vibrant color now dulled by the patina of age and exposure to the elements, like a bloodstain on a worn leather saddle, or the blackened texture of coal that had been burned to ashes.","['FRAG', 'SG']","['COLOR', 'FORM']","Based on the given sentence, I would categorize it as:

(HD):a part of an animal (the hat)","Based on the sentence, I would categorize it as:

K: an object (the fragmented element)
CLOB: a feeling of threat or anxiety (the patina of age and exposure to the elements)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
